Proje_ID,Bolge,Sehir,Proje_Tipi,Konut_Sayisi,Konut_Fiyati_TL,Toplam_Basvuru,Kura_Kazanma_Sansi_Yuzde,Pesinat_Orani_Yuzde,Pesinat_Tutari_TL,Vade_Ay,Baslangic_Taksiti_TL,Proje_Durumu
TOKI_2026_000103,Ege,Izmir,Sosyal Konut (Alt Gelir),2284,1693000.0,34635,6.59,10,169000.0,240,6000.0,Planlama Asamasinda
TOKI_2026_000104,Ic Anadolu,Kayseri,Kentsel Donusum,2520,1982000.0,8036,31.36,20,396000.0,180,9000.0,Insaat Halinde
TOKI_2026_000105,Akdeniz,Burdur,Sosyal Konut (Alt Gelir),1863,1195000.0,16537,11.27,10,120000.0,240,4000.0,Tamamlandi
TOKI_2026_000106,Akdeniz,Isparta,Sosyal Konut (Alt Gelir),2649,1358000.0,16773,15.79,10,136000.0,240,5000.0,Insaat Halinde
TOKI_2026_000107,Güneydogu Anadolu,Gaziantep,Orta Gelir Konut,1373,2166000.0,4784,28.7,20,433000.0,180,10000.0,Insaat Halinde
TOKI_2026_000108,Akdeniz,Adana,Sosyal Konut (Alt Gelir),2996,1350000.0,12035,24.89,10,135000.0,240,5000.0,Tamamlandi
TOKI_2026_000109,Ege,Izmir,Sosyal Konut (Alt Gelir),948,1751000.0,16695,5.68,10,175000.0,240,7000.0,Insaat Halinde
TOKI_2026_000110,Dogu Anadolu,Elazig,Sosyal Konut (Alt Gelir),301,998000.0,2050,14.68,10,100000.0,240,4000.0,Insaat Halinde
TOKI_2026_000111,Güneydogu Anadolu,Sanliurfa,Sosyal Konut (Alt Gelir),444,1094000.0,2237,19.85,10,109000.0,240,4000.0,Planlama Asamasinda
TOKI_2026_000112,Ege,Izmir,Sosyal Konut (Alt Gelir),89,1737000.0,1646,5.41,10,174000.0,240,7000.0,Insaat Halinde
TOKI_2026_000113,Güneydogu Anadolu,Sanliurfa,Sosyal Konut (Alt Gelir),1278,1038000.0,7045,18.14,10,104000.0,240,4000.0,Tamamlandi
TOKI_2026_000114,Dogu Anadolu,Bitlis,Sosyal Konut (Alt Gelir),2747,944000.0,20077,13.68,10,94000.0,240,4000.0,Tamamlandi
TOKI_2026_000115,Marmara,Istanbul,Orta Gelir Konut,2902,3408000.0,39802,7.29,20,682000.0,180,15000.0,Tamamlandi
TOKI_2026_000116,Ic Anadolu,Cankiri,Kentsel Donusum,2640,2134000.0,9281,28.45,20,427000.0,180,9000.0,Insaat Halinde
TOKI_2026_000117,Marmara,Balikesir,Orta Gelir Konut,1230,2660000.0,5795,21.23,20,532000.0,180,12000.0,Tamamlandi
TOKI_2026_000118,Dogu Anadolu,Kars,Orta Gelir Konut,1007,1799000.0,2244,44.88,20,360000.0,180,8000.0,Planlama Asamasinda
TOKI_2026_000119,Güneydogu Anadolu,Sanliurfa,Sosyal Konut (Alt Gelir),523,1175000.0,4111,12.72,10,118000.0,240,4000.0,Tamamlandi
TOKI_2026_000120,Güneydogu Anadolu,Sanliurfa,Sosyal Konut (Alt Gelir),2476,1084000.0,9529,25.98,10,108000.0,240,4000.0,Insaat Halinde
TOKI_2026_000121,Akdeniz,Adana,Kentsel Donusum,1728,2747000.0,5136,33.64,20,549000.0,180,12000.0,Tamamlandi
TOKI_2026_000122,Marmara,Istanbul,Sosyal Konut (Alt Gelir),954,1844000.0,42554,2.24,10,184000.0,240,7000.0,Tamamlandi
TOKI_2026_000123,Dogu Anadolu,Bitlis,Kentsel Donusum,890,2165000.0,2037,43.69,20,433000.0,180,10000.0,Planlama Asamasinda
TOKI_2026_000124,Karadeniz,Gumushane,Kentsel Donusum,2812,2121000.0,11585,24.27,20,424000.0,180,9000.0,Tamamlandi
TOKI_2026_000125,Karadeniz,Kastamonu,Sosyal Konut (Alt Gelir),833,877000.0,6684,12.46,10,88000.0,240,3000.0,Insaat Halinde
TOKI_2026_000126,Ic Anadolu,Ankara,Sosyal Konut (Alt Gelir),2327,1545000.0,34276,6.79,10,154000.0,240,6000.0,Insaat Halinde
TOKI_2026_000127,Ic Anadolu,Sivas,Sosyal Konut (Alt Gelir),2128,900000.0,15332,13.88,10,90000.0,240,3000.0,Insaat Halinde
TOKI_2026_000128,Ege,Izmir,Kentsel Donusum,2013,3276000.0,12577,16.01,20,655000.0,180,15000.0,Planlama Asamasinda
TOKI_2026_000129,Dogu Anadolu,Ardahan,Orta Gelir Konut,1420,1893000.0,6544,21.7,20,379000.0,180,8000.0,Insaat Halinde
TOKI_2026_000130,Marmara,Edirne,Sosyal Konut (Alt Gelir),1803,1298000.0,18983,9.5,10,130000.0,240,5000.0,Insaat Halinde
TOKI_2026_000131,Ege,Manisa,Sosyal Konut (Alt Gelir),762,1580000.0,12074,6.31,10,158000.0,240,6000.0,Tamamlandi
TOKI_2026_000132,Karadeniz,Trabzon,Sosyal Konut (Alt Gelir),1928,872000.0,15956,12.08,10,87000.0,240,3000.0,Tamamlandi
TOKI_2026_000133,Karadeniz,Samsun,Sosyal Konut (Alt Gelir),1480,1304000.0,9759,15.17,10,130000.0,240,5000.0,Insaat Halinde
TOKI_2026_000134,Akdeniz,Adana,Orta Gelir Konut,721,2436000.0,2904,24.83,20,487000.0,180,11000.0,Tamamlandi
TOKI_2026_000135,Ege,Aydin,Sosyal Konut (Alt Gelir),1769,1475000.0,27587,6.41,10,148000.0,240,6000.0,Tamamlandi
TOKI_2026_000136,Güneydogu Anadolu,Gaziantep,Sosyal Konut (Alt Gelir),533,1264000.0,3893,13.69,10,126000.0,240,5000.0,Tamamlandi
TOKI_2026_000137,Ic Anadolu,Konya,Sosyal Konut (Alt Gelir),1427,932000.0,12313,11.59,10,93000.0,240,3000.0,Planlama Asamasinda
TOKI_2026_000138,Marmara,Edirne,Sosyal Konut (Alt Gelir),644,1376000.0,10195,6.32,10,138000.0,240,5000.0,Tamamlandi
TOKI_2026_000139,Ic Anadolu,Konya,Orta Gelir Konut,2388,1959000.0,11093,21.53,20,392000.0,180,9000.0,Insaat Halinde
TOKI_2026_000140,Güneydogu Anadolu,Gaziantep,Sosyal Konut (Alt Gelir),2121,1301000.0,10247,20.7,10,130000.0,240,5000.0,Insaat Halinde
TOKI_2026_000141,Ic Anadolu,Konya,Kentsel Donusum,2832,2009000.0,8564,33.07,20,402000.0,180,9000.0,Insaat Halinde
TOKI_2026_000142,Ic Anadolu,Ankara,Sosyal Konut (Alt Gelir),2369,1869000.0,58745,4.03,10,187000.0,240,7000.0,Insaat Halinde
TOKI_2026_000143,Marmara,Tekirdag,Sosyal Konut (Alt Gelir),1344,1580000.0,13040,10.31,10,158000.0,240,6000.0,Insaat Halinde
TOKI_2026_000144,Karadeniz,Rize,Sosyal Konut (Alt Gelir),1586,891000.0,10947,14.49,10,89000.0,240,3000.0,Insaat Halinde
TOKI_2026_000145,Marmara,Kirklareli,Orta Gelir Konut,2741,2779000.0,24013,11.41,20,556000.0,180,12000.0,Tamamlandi
TOKI_2026_000146,Akdeniz,Adana,Sosyal Konut (Alt Gelir),2772,1198000.0,22982,12.06,10,120000.0,240,4000.0,Tamamlandi
TOKI_2026_000147,Karadeniz,Giresun,Sosyal Konut (Alt Gelir),2025,990000.0,10092,20.07,10,99000.0,240,4000.0,Tamamlandi
TOKI_2026_000148,Akdeniz,Burdur,Sosyal Konut (Alt Gelir),677,1135000.0,5287,12.8,10,113000.0,240,4000.0,Tamamlandi
TOKI_2026_000149,Akdeniz,Isparta,Orta Gelir Konut,207,2460000.0,807,25.65,20,492000.0,180,11000.0,Insaat Halinde
TOKI_2026_000150,Karadeniz,Giresun,Sosyal Konut (Alt Gelir),1290,1086000.0,11511,11.21,10,109000.0,240,4000.0,Insaat Halinde
TOKI_2026_000151,Marmara,Canakkale,Sosyal Konut (Alt Gelir),2064,1348000.0,29276,7.05,10,135000.0,240,5000.0,Insaat Halinde
TOKI_2026_000152,Dogu Anadolu,Tunceli,Orta Gelir Konut,1078,1991000.0,3848,28.01,20,398000.0,180,9000.0,Insaat Halinde
TOKI_2026_000153,Marmara,Kocaeli,Kentsel Donusum,1038,2399000.0,7533,13.78,20,480000.0,180,11000.0,Insaat Halinde
TOKI_2026_000154,Güneydogu Anadolu,Sanliurfa,Kentsel Donusum,2677,2042000.0,5573,48.04,20,408000.0,180,9000.0,Insaat Halinde
TOKI_2026_000155,Güneydogu Anadolu,Sirnak,Kentsel Donusum,1422,1874000.0,3308,42.99,20,375000.0,180,8000.0,Tamamlandi
TOKI_2026_000156,Güneydogu Anadolu,Batman,Sosyal Konut (Alt Gelir),2629,1280000.0,15529,16.93,10,128000.0,240,5000.0,Planlama Asamasinda
TOKI_2026_000157,Ege,Usak,Kentsel Donusum,728,2356000.0,3129,23.27,20,471000.0,180,10000.0,Tamamlandi
TOKI_2026_000158,Dogu Anadolu,Agri,Sosyal Konut (Alt Gelir),423,976000.0,1865,22.68,10,98000.0,240,4000.0,Insaat Halinde
TOKI_2026_000159,Marmara,Kocaeli,Sosyal Konut (Alt Gelir),2300,1188000.0,19249,11.95,10,119000.0,240,4000.0,Insaat Halinde
TOKI_2026_000160,Marmara,Sakarya,Orta Gelir Konut,1398,2721000.0,8838,15.82,20,544000.0,180,12000.0,Tamamlandi
TOKI_2026_000161,Marmara,Kocaeli,Sosyal Konut (Alt Gelir),2208,1408000.0,20662,10.69,10,141000.0,240,5000.0,Insaat Halinde
TOKI_2026_000162,Ege,Izmir,Sosyal Konut (Alt Gelir),119,1990000.0,1392,8.55,10,199000.0,240,7000.0,Insaat Halinde
TOKI_2026_000163,Dogu Anadolu,Bingol,Sosyal Konut (Alt Gelir),1218,904000.0,5551,21.94,10,90000.0,240,3000.0,Tamamlandi
TOKI_2026_000164,Güneydogu Anadolu,Diyarbakir,Sosyal Konut (Alt Gelir),2831,1250000.0,10670,26.53,10,125000.0,240,5000.0,Tamamlandi
TOKI_2026_000165,Ic Anadolu,Kayseri,Orta Gelir Konut,1732,1764000.0,4074,42.51,20,353000.0,180,8000.0,Tamamlandi
TOKI_2026_000166,Karadeniz,Sinop,Sosyal Konut (Alt Gelir),2360,1219000.0,14718,16.03,10,122000.0,240,5000.0,Tamamlandi
TOKI_2026_000167,Marmara,Kocaeli,Sosyal Konut (Alt Gelir),1043,1124000.0,13516,7.72,10,112000.0,240,4000.0,Insaat Halinde
TOKI_2026_000168,Karadeniz,Bartin,Orta Gelir Konut,1451,1831000.0,3165,45.85,20,366000.0,180,8000.0,Insaat Halinde
TOKI_2026_000169,Akdeniz,Antalya,Sosyal Konut (Alt Gelir),1145,1210000.0,28649,4.0,10,121000.0,240,5000.0,Insaat Halinde
TOKI_2026_000170,Ic Anadolu,Sivas,Sosyal Konut (Alt Gelir),2796,1344000.0,14440,19.36,10,134000.0,240,5000.0,Insaat Halinde
TOKI_2026_000171,Güneydogu Anadolu,Gaziantep,Sosyal Konut (Alt Gelir),778,1051000.0,6653,11.69,10,105000.0,240,4000.0,Tamamlandi
TOKI_2026_000172,Dogu Anadolu,Hakkari,Sosyal Konut (Alt Gelir),1300,1026000.0,5721,22.72,10,103000.0,240,4000.0,Planlama Asamasinda
TOKI_2026_000173,Marmara,Tekirdag,Kentsel Donusum,2438,2766000.0,14634,16.66,20,553000.0,180,12000.0,Insaat Halinde
TOKI_2026_000174,Ic Anadolu,Konya,Orta Gelir Konut,118,1987000.0,487,24.23,20,397000.0,180,9000.0,Insaat Halinde
TOKI_2026_000175,Karadeniz,Gumushane,Sosyal Konut (Alt Gelir),1175,1239000.0,7274,16.15,10,124000.0,240,5000.0,Insaat Halinde
TOKI_2026_000176,Karadeniz,Bartin,Sosyal Konut (Alt Gelir),1876,1201000.0,12357,15.18,10,120000.0,240,5000.0,Tamamlandi
